"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
Starlink-1612 ,Starlink-1612 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AZ,46164,LEO - Non-Polar Inclined
Starlink-1613 ,Starlink-1613 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057BA,46165,LEO - Non-Polar Inclined
Starlink-1614 ,Starlink-1614 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057H,46124,LEO - Non-Polar Inclined
Starlink-1615 ,Starlink-1615 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057BB,46166,LEO - Non-Polar Inclined
Starlink-1616 ,Starlink-1616 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AH,46148,LEO - Non-Polar Inclined
Starlink-1617 ,Starlink-1617 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-09-03 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AB,46350,LEO - Non-Polar Inclined
Starlink-1618 ,Starlink-1618 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057J,46125,LEO - Non-Polar Inclined
Starlink-1619 ,Starlink-1619 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057K,46126,LEO - Non-Polar Inclined
Starlink-1620 ,Starlink-1620 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AJ,46149,LEO - Non-Polar Inclined
Starlink-1621 ,Starlink-1621 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057L,46127,LEO - Non-Polar Inclined
Starlink-1622 ,Starlink-1622 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057M,46128,LEO - Non-Polar Inclined
Starlink-1623 ,Starlink-1623 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057N,46129,LEO - Non-Polar Inclined
Starlink-1624 ,Starlink-1624 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057P,46130,LEO - Non-Polar Inclined
Starlink-1625 ,Starlink-1625 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057Q,46131,LEO - Non-Polar Inclined
Starlink-1626 ,Starlink-1626 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057BC,46167,LEO - Non-Polar Inclined
Starlink-1627 ,Starlink-1627 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057BD,46168,LEO - Non-Polar Inclined
Starlink-1628 ,Starlink-1628 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057BE,46169,LEO - Non-Polar Inclined
Starlink-1629 ,Starlink-1629 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AK,46150,LEO - Non-Polar Inclined
