NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
50827,2022-001AA ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50836,2022-001AK ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50834,2022-001AH ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50825,2022-001Y ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50805,2022-001C ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50823,2022-001W ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50806,2022-001D ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50818,2022-001R ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50826,2022-001Z ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50812,2022-001K ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50820,2022-001T ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50824,2022-001X ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50817,2022-001Q ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50816,2022-001P ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50822,2022-001V ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51110,2022-005G ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50821,2022-001U ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50811,2022-001J ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50810,2022-001H ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50813,2022-001L ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51105,2022-005B ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
